iter	Logloss
0	0.5907564172
1	0.513003034
2	0.4556098047
3	0.4106187194
4	0.3747111722
5	0.3490074795
6	0.3290939845
7	0.3095661854
8	0.2973508619
9	0.2884562935
10	0.2814332694
11	0.2758222954
12	0.270148978
13	0.262751043
14	0.2592539061
15	0.2559746429
16	0.2504122407
17	0.2456318429
18	0.2420096209
19	0.2390467296
20	0.2373071753
21	0.2347603621
22	0.232854553
23	0.2311102883
24	0.2284420998
25	0.2269972815
26	0.2259433439
27	0.224793688
28	0.223918363
29	0.2228421035
30	0.2218546311
31	0.2210559367
32	0.2201185386
33	0.2195731598
34	0.2189930748
35	0.2185560184
36	0.2177134984
37	0.2171522104
38	0.2167249876
39	0.2163295576
40	0.2159918041
41	0.2142601427
42	0.2138078745
43	0.2132433056
44	0.213050581
45	0.2122579713
46	0.212080959
47	0.2114085947
48	0.2112020614
49	0.2109986294
50	0.2106637436
51	0.210265793
52	0.2099365788
53	0.2096133537
54	0.209419124
55	0.2090954334
56	0.2089849625
57	0.2088461359
58	0.2084589943
59	0.2082562318
60	0.2080359389
61	0.2079317211
62	0.2078175029
63	0.2076946556
64	0.2075383636
65	0.2073736959
66	0.2072506705
67	0.207017324
68	0.2066307481
69	0.2064538617
70	0.2062223402
71	0.2060714006
72	0.2057207727
73	0.2056027503
74	0.2051699559
75	0.2049494469
76	0.2048086289
77	0.2046809718
78	0.2045924102
79	0.2044717363
80	0.2044048249
81	0.2042821459
82	0.2041046543
83	0.2038905638
84	0.203487921
85	0.2033408129
86	0.203329824
87	0.2031354219
88	0.2030111785
89	0.2029416308
90	0.2027205184
91	0.2026155095
92	0.2022914672
93	0.201918681
94	0.2016587024
95	0.2015737352
96	0.2014502073
97	0.2008585307
98	0.2006819517
99	0.2004476396
100	0.2002754859
101	0.2000037027
102	0.1999151646
103	0.1998057707
104	0.1996036448
105	0.1994585591
106	0.1993418176
107	0.1992257977
108	0.1991489452
109	0.1990046543
110	0.1989220896
111	0.1987697706
112	0.1986481396
113	0.198542535
114	0.1984464496
115	0.1982518281
116	0.198117924
117	0.1980212509
118	0.1978685769
119	0.197725885
120	0.1976185485
121	0.1974710936
122	0.1974210788
123	0.1972339643
124	0.1970631624
125	0.1969502929
126	0.1966722808
127	0.1965215998
128	0.1964158611
129	0.1963054752
130	0.1961511398
131	0.1959729839
132	0.1958125241
133	0.1956961818
134	0.1956125888
135	0.1953342905
136	0.1952448298
137	0.1951450002
138	0.1949508706
139	0.1948462701
140	0.1946666561
141	0.19457629
142	0.1944506732
143	0.1943225796
144	0.1942055925
145	0.1940832532
146	0.1939755883
147	0.1936254406
148	0.193481633
149	0.1932999035
150	0.1931875236
151	0.1929183095
152	0.1927577094
153	0.192583597
154	0.1924671336
155	0.1923196767
156	0.1920823847
157	0.1919818239
158	0.191847515
159	0.1917146738
160	0.1915967758
161	0.1914118947
162	0.1913027143
163	0.1912411116
164	0.1911183169
165	0.1909254651
166	0.1908594592
167	0.1907590944
168	0.1906372792
169	0.1905322577
170	0.1904210966
171	0.1903140313
172	0.1901858746
173	0.1900703436
174	0.1899516538
175	0.1897956297
176	0.1896836056
177	0.1895930467
178	0.1893837333
179	0.189294069
180	0.1891751357
181	0.1891130744
182	0.1888171307
183	0.1886862733
184	0.1885830677
185	0.1884461825
186	0.1883129096
187	0.1881958577
188	0.1881035589
189	0.1879519651
190	0.1878178345
191	0.1877094427
192	0.1873549255
193	0.1872259072
194	0.1871166357
195	0.1870482018
196	0.1869649159
197	0.1868613315
198	0.1867799635
199	0.1866497444
