iter	Passed	Remaining
401	16509	24559
402	16545	24509
403	16584	24466
404	16623	24421
405	16661	24376
406	16695	24325
407	16730	24276
408	16765	24226
409	16801	24177
410	16834	24125
411	16871	24078
412	16905	24027
413	16942	23981
414	16978	23933
415	17014	23885
416	17048	23835
417	17086	23790
418	17126	23748
419	17164	23703
420	17200	23656
421	17240	23614
422	17276	23566
423	17314	23521
424	17353	23477
425	17389	23430
426	17427	23386
427	17462	23337
428	17503	23297
429	17557	23273
430	17600	23235
431	17642	23196
432	17681	23152
433	17716	23104
434	17753	23058
435	17791	23014
436	17829	22970
437	17868	22927
438	17909	22886
439	17946	22840
440	17981	22792
441	18014	22742
442	18058	22705
443	18097	22662
444	18140	22624
445	18178	22580
446	18216	22536
447	18255	22493
448	18295	22451
449	18335	22410
450	18373	22365
451	18414	22325
452	18455	22284
453	18493	22241
454	18532	22198
455	18572	22156
456	18611	22113
457	18665	22089
458	18704	22045
459	18748	22008
460	18787	21965
461	18827	21924
462	18864	21879
463	18900	21833
464	18939	21790
465	18976	21746
466	19017	21705
467	19059	21666
468	19096	21620
469	19132	21574
470	19170	21531
471	19209	21488
472	19249	21447
473	19285	21401
474	19324	21358
475	19360	21312
476	19396	21267
477	19430	21219
478	19469	21177
479	19506	21131
480	19540	21083
481	19575	21037
482	19615	20995
483	19648	20947
484	19684	20901
485	19721	20858
486	19758	20813
487	19797	20770
488	19836	20728
489	19877	20688
490	19919	20650
491	19956	20605
492	19991	20558
493	20023	20510
494	20061	20466
495	20094	20418
496	20130	20373
497	20164	20326
498	20204	20285
499	20239	20239
500	20275	20194
501	20313	20151
502	20348	20105
503	20383	20059
504	20416	20012
505	20452	19967
506	20493	19927
507	20529	19882
508	20562	19835
509	20596	19788
510	20630	19742
511	20665	19696
512	20699	19650
513	20734	19604
514	20772	19562
515	20808	19518
516	20845	19474
517	20881	19430
518	20919	19387
519	20952	19340
520	20990	19297
521	21028	19255
522	21072	19218
523	21109	19176
524	21145	19131
525	21180	19086
526	21213	19040
527	21250	18996
528	21287	18953
529	21324	18910
530	21361	18867
531	21397	18823
532	21431	18778
533	21467	18733
534	21503	18690
535	21539	18645
536	21574	18601
537	21610	18557
538	21650	18517
539	21697	18482
540	21745	18449
541	21792	18414
542	21837	18378
543	21883	18343
544	21924	18303
545	21968	18267
546	22016	18232
547	22063	18198
548	22104	18158
549	22148	18121
550	22189	18082
551	22227	18040
552	22269	18001
553	22307	17958
554	22348	17918
555	22388	17878
556	22423	17834
557	22461	17791
558	22528	17772
559	22590	17749
560	22644	17719
561	22709	17699
562	22759	17665
563	22806	17630
564	22855	17596
565	22895	17555
566	22936	17516
567	22973	17472
568	23012	17430
569	23058	17394
570	23101	17356
571	23148	17320
572	23190	17281
573	23231	17241
574	23272	17201
575	23316	17163
576	23363	17127
577	23409	17091
578	23460	17058
579	23512	17025
580	23558	16989
581	23605	16953
582	23653	16918
583	23701	16883
584	23754	16851
585	23805	16817
586	23851	16781
587	23895	16743
588	23945	16708
589	23987	16669
590	24036	16634
591	24079	16595
592	24123	16556
593	24167	16518
594	24207	16477
595	24250	16438
596	24295	16400
597	24338	16361
598	24383	16323
599	24431	16287
600	24485	16255
601	24532	16219
602	24574	16179
603	24617	16139
604	24663	16102
605	24704	16062
606	24746	16021
607	24792	15984
608	24835	15945
609	24875	15904
610	24927	15870
611	24971	15831
612	25013	15791
613	25058	15753
